return_id,order_id,product_id,return_date,return_reason,refund_amount
88,56467,2415,2025-06-01,Damaged Product,6408.23
89,2161,1780,2025-09-06,Wrong Item Delivered,9051.92
90,6654,1414,2024-09-23,Late Delivery,4704.56
91,49310,1357,2026-05-09,Customer Changed Mind,817.21
92,92687,629,2025-11-27,Customer Changed Mind,2315.51
93,53945,968,2024-07-15,Damaged Product,7521.64
94,32553,488,2026-03-05,Customer Changed Mind,4573.3
95,67897,514,2024-09-04,Customer Changed Mind,1994.9
96,35978,1393,2025-01-12,Damaged Product,9926.45
97,17882,1484,2024-12-18,Customer Changed Mind,2214.31
98,45966,2242,2025-12-09,Late Delivery,8501.18
99,73490,996,2026-01-20,Damaged Product,1086.16
100,63114,2192,2025-04-01,Damaged Product,2510.55
101,61060,393,2025-09-04,Late Delivery,8302.58
102,60365,1734,2025-09-12,Defective Product,9893.54
103,97257,2027,2025-08-30,Wrong Item Delivered,2111.99
104,90392,1506,2026-02-05,Late Delivery,8093.3
105,74246,1526,2025-05-18,Defective Product,6174.63
106,57375,1287,2026-07-11,Damaged Product,887.96
107,71716,961,2026-04-20,Wrong Item Delivered,435.62
108,42349,1296,2024-09-18,Wrong Item Delivered,853.47
109,73802,1583,2025-05-30,Wrong Item Delivered,731.4
110,15293,1451,2025-02-11,Wrong Item Delivered,1838.0
111,80785,1797,2026-03-28,Late Delivery,6487.28
112,9480,2448,2024-08-21,Defective Product,4598.29
113,25999,2457,2026-04-14,Late Delivery,8223.78
114,57598,858,2026-06-20,Damaged Product,6668.74
115,74404,2100,2024-09-29,Late Delivery,6766.97
116,70793,1945,2025-10-30,Late Delivery,4778.23
117,11117,1263,2025-03-07,Late Delivery,6073.37
118,22471,1091,2025-06-15,Wrong Item Delivered,1091.15
119,47837,2434,2025-01-16,Defective Product,455.11
120,63440,2073,2025-06-01,Damaged Product,9927.99
121,92170,1655,2025-12-02,Customer Changed Mind,9395.79
122,63484,331,2024-09-01,Defective Product,5588.31
123,90774,1734,2026-07-10,Late Delivery,3310.91
124,61782,2394,2025-01-27,Customer Changed Mind,2205.54
125,14659,1342,2024-09-05,Damaged Product,9920.01
126,53671,2300,2025-11-11,Damaged Product,1543.8
127,46281,1774,2024-12-23,Customer Changed Mind,3957.53
128,99906,168,2024-08-20,Late Delivery,8352.51
129,49087,1612,2024-11-21,Damaged Product,595.54
130,65773,1944,2024-11-07,Wrong Item Delivered,6723.84
131,84541,1437,2025-05-24,Customer Changed Mind,5715.23
132,14866,1385,2025-03-10,Damaged Product,5876.29
133,3490,1089,2024-07-26,Wrong Item Delivered,1710.08
134,69559,426,2024-08-21,Customer Changed Mind,3252.55
135,84724,852,2025-01-06,Defective Product,7634.12
136,81430,698,2024-11-27,Defective Product,4705.85
137,18510,2316,2024-10-17,Defective Product,6496.2
138,18443,778,2025-11-24,Damaged Product,5641.16
139,96809,1612,2025-08-19,Customer Changed Mind,744.73
140,8020,1290,2026-02-19,Damaged Product,6582.34
141,95851,2113,2025-05-19,Wrong Item Delivered,1596.58
142,970,1141,2025-02-03,Defective Product,872.81
143,52315,2358,2026-02-25,Customer Changed Mind,1987.52
144,91211,1188,2025-02-14,Late Delivery,6539.97
145,62580,1761,2025-12-02,Wrong Item Delivered,7264.61
146,28897,135,2025-11-25,Wrong Item Delivered,6397.61
147,11169,2200,2025-06-13,Defective Product,3719.33
148,46263,248,2024-07-16,Damaged Product,3397.15
149,20603,43,2025-09-03,Customer Changed Mind,9318.86
150,85393,1258,2026-06-01,Customer Changed Mind,2080.25
151,16391,677,2025-07-10,Customer Changed Mind,6576.52
152,96992,3,2026-01-18,Late Delivery,9195.27
153,36980,144,2025-03-30,Late Delivery,9814.19
154,76035,1079,2024-08-03,Late Delivery,670.86
155,51417,972,2025-01-23,Late Delivery,4866.09
156,27663,947,2025-02-09,Customer Changed Mind,9601.63
157,22599,1979,2024-08-08,Damaged Product,9525.08
158,35483,1060,2026-07-05,Late Delivery,9907.67
159,85134,1869,2025-11-19,Customer Changed Mind,799.83
160,42942,6,2024-09-12,Late Delivery,6673.06
161,96592,839,2026-02-27,Customer Changed Mind,2961.87
162,22303,1169,2026-03-11,Customer Changed Mind,8004.3
163,76367,1160,2024-11-25,Damaged Product,6094.74
164,97773,1248,2025-03-08,Wrong Item Delivered,9126.91
165,88289,736,2025-02-03,Damaged Product,5270.95
166,94546,504,2025-09-03,Damaged Product,7945.08
167,80033,816,2026-02-23,Defective Product,5099.06
168,5649,2346,2025-08-12,Late Delivery,1220.1
169,56468,1688,2024-08-14,Wrong Item Delivered,4771.44
170,75054,2178,2025-10-31,Customer Changed Mind,1129.25
171,3150,1263,2024-11-15,Damaged Product,2055.15
172,61747,1682,2025-07-09,Defective Product,1670.23
173,76375,1853,2026-06-30,Customer Changed Mind,1066.68
174,7957,1553,2026-02-06,Late Delivery,6330.59
175,33006,297,2025-07-06,Late Delivery,4852.11
176,2349,1970,2024-08-14,Damaged Product,3573.75
177,77607,2287,2025-08-29,Wrong Item Delivered,7568.54
178,77296,1282,2024-12-07,Damaged Product,6523.28
179,13319,622,2025-06-24,Customer Changed Mind,8475.64
180,97316,804,2025-10-31,Customer Changed Mind,7923.11
181,69117,31,2024-09-02,Damaged Product,5339.92
182,53979,1684,2025-02-04,Wrong Item Delivered,5744.98
183,64857,1837,2024-10-16,Late Delivery,5509.95
184,51189,1220,2024-09-23,Damaged Product,2008.35
185,46560,1291,2025-02-20,Damaged Product,7093.72
186,80063,1482,2025-12-03,Wrong Item Delivered,4369.34
187,89001,258,2025-06-21,Defective Product,3241.65
188,20043,229,2025-11-27,Late Delivery,5848.11
189,19067,737,2025-08-26,Damaged Product,9911.41
190,14203,1698,2026-04-20,Damaged Product,6787.95
191,71007,201,2026-03-10,Wrong Item Delivered,8809.43
192,74093,1513,2025-09-21,Late Delivery,3240.86
193,91368,37,2025-09-02,Damaged Product,2345.9
194,87423,533,2024-09-30,Late Delivery,4078.19
195,12865,373,2026-02-08,Wrong Item Delivered,170.18
196,21900,2065,2025-03-16,Damaged Product,4169.36
197,20330,2133,2026-06-01,Customer Changed Mind,8113.95
198,24285,479,2024-09-29,Customer Changed Mind,9122.82
199,18987,908,2025-07-31,Customer Changed Mind,800.32
200,95177,1402,2026-04-16,Late Delivery,9688.23
201,2110,2181,2024-12-24,Customer Changed Mind,7826.81
202,83666,640,2026-03-12,Customer Changed Mind,3176.35
203,34740,1784,2026-01-09,Late Delivery,7371.97
204,97958,1796,2024-07-19,Damaged Product,8883.63
205,21735,1382,2024-11-18,Defective Product,4016.72
206,67743,2151,2025-02-10,Damaged Product,6944.28
207,305,550,2025-10-30,Defective Product,9407.03
208,77623,1916,2025-09-19,Customer Changed Mind,7076.34
209,70399,703,2025-06-07,Late Delivery,3452.62
210,39387,2043,2025-08-05,Defective Product,4681.32
211,93000,397,2024-08-31,Customer Changed Mind,1263.06
212,80389,2199,2026-05-06,Defective Product,2313.04
213,92310,117,2025-07-05,Customer Changed Mind,7043.83
214,66954,1162,2026-05-10,Customer Changed Mind,5077.73
215,18869,1900,2026-07-09,Late Delivery,3927.98
216,29035,1311,2025-03-25,Defective Product,3666.22
217,28559,167,2024-12-27,Defective Product,1318.0
218,43385,1614,2024-11-04,Damaged Product,2977.86
219,17458,717,2025-07-04,Wrong Item Delivered,4372.7
220,60187,515,2026-04-28,Late Delivery,4200.55
221,3763,605,2025-04-22,Defective Product,4609.04
222,25002,2383,2025-03-22,Late Delivery,8961.38
223,73536,1719,2026-03-31,Customer Changed Mind,7844.53
224,14403,2261,2025-07-08,Defective Product,1277.95
225,27389,2296,2025-06-23,Damaged Product,5198.53
226,7421,186,2024-10-30,Damaged Product,2410.84
227,54668,2051,2024-08-18,Defective Product,4991.24
228,67660,1896,2025-03-16,Customer Changed Mind,7957.36
229,9785,870,2025-07-12,Defective Product,6884.16
230,55349,950,2025-01-17,Wrong Item Delivered,2668.15
231,66348,2279,2025-09-22,Damaged Product,9451.43
232,76234,1979,2026-06-23,Damaged Product,4162.08
233,80483,1231,2025-09-18,Late Delivery,9282.62
234,85327,284,2025-11-10,Customer Changed Mind,6143.36
235,66194,203,2024-07-26,Damaged Product,9437.81
236,77839,1484,2025-04-16,Wrong Item Delivered,2081.15
237,95540,1645,2026-05-11,Customer Changed Mind,2422.37
238,30850,1241,2026-01-28,Late Delivery,4399.78
239,3622,1139,2026-04-08,Defective Product,6080.29
240,11082,1787,2024-10-03,Late Delivery,6858.38
241,64917,327,2025-11-05,Defective Product,2015.25
242,10405,1070,2025-09-14,Wrong Item Delivered,4713.26
243,14682,1752,2025-08-16,Late Delivery,6449.95
244,27004,1577,2025-04-28,Damaged Product,8515.69
245,6372,986,2024-10-16,Damaged Product,456.91
246,86758,1151,2025-08-13,Defective Product,5484.82
247,18751,306,2024-09-20,Late Delivery,6222.04
248,69171,1919,2024-10-11,Customer Changed Mind,8521.07
249,77387,2184,2025-10-27,Customer Changed Mind,705.38
250,64260,432,2025-07-12,Defective Product,1965.83
251,1166,1689,2025-08-16,Wrong Item Delivered,1022.73
252,36542,1452,2024-08-23,Late Delivery,3599.15
253,97013,106,2025-10-03,Damaged Product,5808.69
254,16683,800,2026-03-06,Damaged Product,338.23
255,61446,592,2026-06-01,Late Delivery,3617.51
256,91207,757,2026-03-21,Wrong Item Delivered,6933.95
257,296,1385,2025-04-12,Customer Changed Mind,9725.35
258,70583,1230,2024-12-08,Defective Product,1255.57
259,57113,1333,2026-04-08,Customer Changed Mind,1855.36
260,24987,1261,2024-07-31,Late Delivery,663.68
261,90921,1668,2025-05-06,Wrong Item Delivered,7900.98
262,2807,1417,2025-08-09,Defective Product,2548.63
263,48914,571,2025-06-22,Wrong Item Delivered,1173.95
264,63349,183,2025-08-07,Late Delivery,7852.35
265,17451,943,2024-09-14,Defective Product,1749.25
266,60350,415,2025-10-27,Damaged Product,502.16
267,38616,749,2025-04-28,Damaged Product,2751.45
268,45190,2008,2024-08-04,Wrong Item Delivered,1370.52
269,33711,1774,2026-05-12,Late Delivery,3551.38
270,35676,711,2026-07-01,Late Delivery,4772.08
271,39034,508,2025-03-15,Defective Product,4952.19
272,65674,1001,2024-11-02,Defective Product,6752.86
273,99768,2292,2025-10-24,Customer Changed Mind,427.0
274,33715,1858,2025-07-01,Late Delivery,8394.9
275,90606,108,2025-07-26,Wrong Item Delivered,3376.93
276,80782,242,2025-04-04,Customer Changed Mind,707.13
277,77895,1580,2026-01-01,Damaged Product,9710.91
278,20266,8,2025-04-11,Damaged Product,3969.25
279,24214,1778,2025-03-05,Defective Product,7750.15
280,4770,2442,2024-10-11,Customer Changed Mind,6503.4
281,15631,1459,2025-11-03,Late Delivery,806.51
282,66837,1223,2025-08-10,Defective Product,2021.95
283,19814,1548,2025-11-11,Wrong Item Delivered,7042.14
284,51709,1547,2024-09-11,Damaged Product,6222.28
285,59215,451,2025-12-30,Wrong Item Delivered,6749.28
286,77646,497,2026-05-29,Defective Product,2288.68
287,10660,2078,2024-11-05,Damaged Product,488.49
288,91140,2485,2025-12-03,Wrong Item Delivered,415.91
289,61805,2245,2026-05-03,Late Delivery,4393.79
290,44814,1900,2024-07-13,Wrong Item Delivered,2963.73
291,56255,603,2024-07-20,Customer Changed Mind,2913.86
292,28979,1905,2024-07-13,Wrong Item Delivered,1855.23
293,41039,1011,2026-01-10,Late Delivery,8675.82
294,52908,1183,2026-03-23,Damaged Product,5101.36
295,5150,877,2025-10-27,Defective Product,1727.58
296,91217,1860,2024-07-18,Customer Changed Mind,8425.46
297,42593,1672,2026-01-17,Wrong Item Delivered,6562.44
298,11990,137,2025-09-04,Damaged Product,4405.59
299,11744,1335,2025-05-14,Damaged Product,5365.56
300,36663,606,2024-07-18,Late Delivery,4287.75
301,58047,170,2025-05-01,Defective Product,4123.09
302,67639,1935,2024-09-05,Damaged Product,9791.29
303,6892,736,2026-04-09,Wrong Item Delivered,7929.12
304,60160,2136,2024-12-13,Damaged Product,4730.12
305,86230,2011,2026-05-18,Customer Changed Mind,9626.1
306,76051,1976,2025-12-26,Customer Changed Mind,3909.06
307,18708,1644,2026-06-21,Late Delivery,5679.63
308,7251,1466,2025-07-14,Late Delivery,2457.24
309,84373,848,2025-06-26,Late Delivery,3715.35
310,771,586,2025-04-23,Defective Product,1863.26
311,36723,587,2025-12-23,Damaged Product,2506.9
312,40063,349,2026-03-29,Late Delivery,5417.91
313,91506,749,2024-10-16,Late Delivery,5376.21
314,33927,380,2025-04-05,Late Delivery,4097.15
315,91562,1967,2026-02-14,Late Delivery,5779.62
316,49002,1125,2026-02-04,Damaged Product,9615.36
317,20153,1801,2025-12-23,Defective Product,9965.65
318,88006,2029,2025-04-03,Wrong Item Delivered,8181.06
319,58125,1015,2025-05-04,Defective Product,1420.58
320,75244,807,2026-06-24,Damaged Product,2686.08
321,61162,48,2024-12-09,Customer Changed Mind,1640.94
322,71815,2187,2026-01-23,Late Delivery,9644.39
323,50145,1132,2025-11-21,Defective Product,8945.71
324,46945,997,2026-04-24,Late Delivery,2681.7
325,20500,567,2025-05-10,Defective Product,8232.99
326,14943,679,2026-03-09,Wrong Item Delivered,2251.85
327,24604,1033,2024-12-07,Wrong Item Delivered,7480.3
328,5092,425,2025-07-11,Late Delivery,6400.45
329,58317,2030,2026-04-06,Damaged Product,2778.33
330,73333,20,2025-09-10,Defective Product,1474.57
331,73307,1974,2024-10-13,Late Delivery,9159.65
332,76240,2174,2024-11-29,Customer Changed Mind,9381.04
333,9232,1504,2026-04-24,Damaged Product,8125.31
334,48304,807,2025-10-19,Wrong Item Delivered,4783.74
335,29400,2394,2024-09-24,Customer Changed Mind,7601.1
336,30391,317,2024-08-14,Customer Changed Mind,3528.31
337,19147,2337,2026-01-15,Customer Changed Mind,2302.21
338,16870,602,2026-04-13,Damaged Product,7105.73
339,18930,1780,2024-08-01,Damaged Product,759.15
340,4504,1293,2025-09-01,Customer Changed Mind,4436.52
341,31626,1453,2025-07-11,Customer Changed Mind,4028.12
342,62991,572,2025-03-02,Late Delivery,2915.8
343,94263,1576,2025-04-24,Wrong Item Delivered,424.27
344,46052,1357,2026-07-09,Wrong Item Delivered,607.7
345,88946,2395,2026-01-28,Wrong Item Delivered,7135.9
346,73538,531,2025-12-27,Damaged Product,1272.72
347,91265,1419,2025-06-12,Late Delivery,2626.52
348,18119,1999,2026-07-09,Damaged Product,9620.26
349,74444,1807,2026-03-24,Damaged Product,5553.74
350,46673,2440,2025-08-05,Damaged Product,6441.28
351,9977,1302,2025-07-29,Late Delivery,8299.39
352,22478,869,2024-10-03,Defective Product,3278.99
353,21072,478,2025-03-10,Late Delivery,3450.78
354,5159,2405,2025-05-18,Late Delivery,3381.73
355,38222,697,2024-09-11,Late Delivery,8673.09
356,4720,1884,2026-06-12,Wrong Item Delivered,4001.02
357,37767,2258,2026-04-17,Wrong Item Delivered,7218.49
358,39251,1620,2026-01-08,Customer Changed Mind,3472.81
359,10567,559,2026-04-14,Wrong Item Delivered,4035.58
360,37829,404,2024-10-12,Damaged Product,4843.62
361,56034,882,2025-10-14,Damaged Product,2437.09
362,83782,632,2026-05-02,Damaged Product,4988.95
363,57019,2382,2026-06-06,Wrong Item Delivered,1959.51
364,11642,1077,2026-03-04,Late Delivery,1627.6
365,96117,1799,2024-10-14,Wrong Item Delivered,2944.95
366,30658,47,2024-09-05,Customer Changed Mind,6893.29
367,14093,2126,2025-07-15,Customer Changed Mind,9733.01
368,10673,1717,2026-05-04,Wrong Item Delivered,1846.19
369,70863,1416,2024-09-08,Damaged Product,6709.22
370,17348,513,2025-03-06,Customer Changed Mind,4473.81
371,98487,40,2025-04-24,Damaged Product,3789.25
372,40519,1474,2025-08-20,Wrong Item Delivered,558.45
373,4651,1355,2025-11-06,Wrong Item Delivered,4490.06
374,93180,2444,2026-06-07,Defective Product,1985.04
375,92613,2222,2025-10-27,Late Delivery,958.0
376,32597,279,2026-01-22,Late Delivery,9598.97
377,44216,1375,2026-01-11,Defective Product,8077.13
378,62901,544,2024-09-26,Wrong Item Delivered,3568.3
379,63092,2017,2024-12-12,Customer Changed Mind,8610.55
380,78107,2326,2026-04-26,Late Delivery,8793.45
381,61911,1152,2026-01-26,Defective Product,1128.52
382,5326,372,2025-06-04,Defective Product,5501.98
383,41198,848,2025-04-12,Damaged Product,6919.83
384,22558,985,2026-07-08,Wrong Item Delivered,8250.58
385,99040,867,2026-05-08,Customer Changed Mind,3948.19
386,43124,1051,2025-07-25,Late Delivery,716.2
387,34650,1936,2026-05-19,Late Delivery,1108.03
388,51019,400,2025-12-09,Damaged Product,6263.33
389,11979,2414,2024-11-12,Defective Product,687.92
390,14515,1862,2025-06-11,Late Delivery,7575.05
391,19818,921,2026-03-23,Wrong Item Delivered,6146.93
392,29793,673,2025-06-12,Late Delivery,2676.19
393,51056,1930,2024-12-29,Defective Product,8765.29
394,17923,556,2026-06-05,Customer Changed Mind,872.83
395,64086,1051,2026-05-28,Damaged Product,6488.58
396,62378,1755,2024-09-28,Defective Product,6564.38
397,99509,1667,2026-04-03,Late Delivery,1197.28
398,94942,1791,2024-11-03,Damaged Product,9136.19
399,67207,1059,2024-12-06,Wrong Item Delivered,278.52
400,21552,1307,2025-11-12,Damaged Product,8347.04
401,20394,2371,2026-02-25,Damaged Product,8968.81
402,71503,151,2026-05-04,Defective Product,7061.37
403,9874,1251,2025-05-26,Defective Product,6958.42
404,28939,1203,2024-09-22,Defective Product,3690.18
405,28345,1423,2025-05-17,Defective Product,8507.86
406,87877,609,2024-10-12,Wrong Item Delivered,3495.64
407,27651,762,2026-05-09,Late Delivery,8292.89
408,54926,2349,2026-05-26,Defective Product,8475.55
409,98481,1390,2025-03-02,Late Delivery,721.24
410,13422,6,2025-02-14,Customer Changed Mind,1110.66
411,55508,1438,2025-07-23,Customer Changed Mind,2884.95
412,437,2102,2024-09-14,Wrong Item Delivered,8402.03
413,50536,343,2025-09-25,Late Delivery,7395.18
414,20795,996,2025-11-11,Damaged Product,6234.07
415,42469,1882,2025-01-04,Defective Product,7869.47
416,87565,445,2026-06-25,Damaged Product,1301.16
417,28851,2088,2025-06-11,Damaged Product,1689.83
418,89629,2411,2025-02-24,Customer Changed Mind,2740.22
419,62300,1646,2026-05-03,Wrong Item Delivered,7214.64
420,87798,766,2025-04-11,Late Delivery,3462.41
421,79904,2052,2025-10-10,Damaged Product,1969.83
422,79288,1744,2025-06-28,Late Delivery,5912.29
423,25625,909,2025-07-15,Damaged Product,7304.99
424,80178,457,2026-03-13,Damaged Product,2116.07
425,19226,1579,2025-03-10,Wrong Item Delivered,2760.6
426,81968,315,2025-11-12,Damaged Product,6622.31
427,84936,1103,2025-06-12,Customer Changed Mind,5769.25
428,62758,211,2025-04-14,Damaged Product,4213.45
429,43604,1306,2024-09-17,Wrong Item Delivered,2560.34
430,8512,1363,2026-01-23,Wrong Item Delivered,3270.83
431,66880,961,2024-07-30,Wrong Item Delivered,5624.72
432,92674,2316,2025-01-25,Damaged Product,760.63
433,94563,2494,2025-12-15,Late Delivery,6153.67
434,29546,97,2025-06-13,Late Delivery,1002.65
435,96819,1304,2026-01-11,Late Delivery,7360.72
436,71732,305,2025-09-18,Wrong Item Delivered,5577.15
437,81856,2293,2026-01-14,Wrong Item Delivered,9229.57
438,15032,38,2025-05-17,Damaged Product,8143.72
439,93465,71,2024-08-06,Wrong Item Delivered,887.08
440,37434,2353,2026-02-13,Customer Changed Mind,4047.28
441,59741,757,2025-06-25,Wrong Item Delivered,654.33
442,39424,284,2025-02-22,Customer Changed Mind,1224.81
443,70862,793,2026-04-03,Late Delivery,6363.19
444,81862,301,2025-09-05,Damaged Product,4584.9
445,52010,1787,2024-10-02,Defective Product,3134.32
446,46070,217,2025-07-24,Defective Product,2171.05
447,72632,939,2025-11-10,Late Delivery,7190.58
448,47529,641,2026-05-27,Damaged Product,9771.67
449,41189,1956,2025-05-11,Wrong Item Delivered,4083.9
450,16562,787,2024-12-28,Customer Changed Mind,5812.81
451,22725,413,2024-12-18,Damaged Product,4507.82
452,64582,963,2025-02-28,Defective Product,9378.41
453,23346,1804,2025-07-08,Defective Product,1640.23
454,23131,1121,2025-04-06,Damaged Product,4528.0
455,58037,1110,2026-03-26,Damaged Product,3526.95
456,16379,1956,2026-01-08,Wrong Item Delivered,4428.36
457,66909,1649,2025-05-05,Defective Product,411.96
458,70220,813,2025-06-04,Customer Changed Mind,9820.16
459,48291,1113,2025-07-08,Wrong Item Delivered,7590.29
460,69794,550,2024-07-21,Customer Changed Mind,2489.89
461,72599,708,2026-04-17,Damaged Product,3136.22
462,87872,1710,2024-07-27,Late Delivery,8943.74
463,34173,1906,2025-04-24,Wrong Item Delivered,6352.29
464,92072,596,2025-08-05,Customer Changed Mind,5584.15
465,2443,570,2024-12-01,Late Delivery,5572.67
466,18968,2301,2026-05-04,Wrong Item Delivered,2296.5
467,10101,1081,2024-08-28,Damaged Product,9035.32
468,33352,1159,2024-08-02,Damaged Product,2159.91
469,39848,618,2026-06-14,Customer Changed Mind,5788.93
470,79129,1369,2026-02-07,Damaged Product,7068.32
471,26242,477,2026-06-16,Wrong Item Delivered,3955.77
472,17662,136,2026-01-31,Late Delivery,5321.17
473,65636,2156,2026-04-29,Defective Product,7400.57
474,74980,627,2026-03-25,Wrong Item Delivered,1955.71
475,91610,2318,2026-07-12,Late Delivery,8390.48
476,6453,908,2025-10-06,Wrong Item Delivered,8212.86
477,85190,798,2026-01-11,Defective Product,946.48
478,31184,1987,2025-10-06,Defective Product,3183.62
479,78803,1617,2024-12-16,Late Delivery,2064.16
480,10028,1520,2024-11-05,Late Delivery,5191.45
481,36314,1225,2024-09-25,Defective Product,9874.07
482,44697,1694,2025-05-24,Defective Product,9011.9
483,57463,1921,2026-04-23,Wrong Item Delivered,4669.5
484,55175,2157,2026-01-01,Damaged Product,3968.76
485,14102,537,2025-12-13,Wrong Item Delivered,5739.87
486,54785,2000,2024-08-01,Wrong Item Delivered,2857.89
487,25633,163,2026-03-04,Defective Product,784.09
488,78869,1374,2026-05-06,Late Delivery,3071.94
489,74986,931,2025-04-30,Wrong Item Delivered,5974.72
490,14099,978,2025-06-02,Damaged Product,3560.19
491,68252,284,2025-05-06,Wrong Item Delivered,259.08
492,54187,175,2025-12-14,Defective Product,138.2
493,73234,2483,2025-05-10,Defective Product,9224.86
494,34461,422,2026-04-04,Wrong Item Delivered,7793.23
495,86599,1783,2025-02-25,Defective Product,2737.45
496,29317,853,2024-09-06,Customer Changed Mind,9134.12
497,50728,2000,2025-10-17,Late Delivery,425.25
498,55915,901,2024-07-28,Wrong Item Delivered,8986.6
499,76542,348,2024-12-03,Defective Product,4693.55
500,71725,1772,2025-06-18,Wrong Item Delivered,272.13
501,49531,2276,2025-08-02,Wrong Item Delivered,6307.93
502,360,1863,2026-03-09,Defective Product,5231.9
503,54351,1943,2024-10-25,Wrong Item Delivered,2413.32
