order_id,customer_id,store_id,employee_id,order_date,order_status
61,35367,49,400,2024-12-24,Completed
62,26240,10,191,2026-01-03,Pending
63,41609,9,51,2024-08-09,Returned
64,37389,18,90,2025-08-06,Completed
65,17462,25,295,2026-03-04,Cancelled
66,26285,37,191,2026-04-28,Pending
67,47139,14,425,2024-09-05,Completed
68,44768,24,442,2026-04-28,Pending
69,45358,13,419,2024-12-23,Pending
70,43292,14,455,2025-05-26,Returned
71,43836,6,354,2025-03-10,Cancelled
72,37717,39,293,2025-07-06,Cancelled
73,42802,47,93,2026-02-11,Cancelled
74,26662,46,407,2025-07-04,Cancelled
75,18791,8,25,2026-05-15,Returned
76,11184,6,223,2025-07-31,Pending
77,9713,19,466,2024-12-21,Cancelled
78,1940,38,374,2025-05-25,Pending
79,42673,15,450,2025-03-06,Completed
80,31289,38,342,2025-10-21,Pending
81,47704,15,383,2026-06-25,Completed
82,23596,9,165,2026-04-15,Completed
83,15710,47,480,2025-06-21,Cancelled
84,887,33,486,2026-01-24,Completed
85,9265,34,475,2025-09-12,Completed
86,17742,14,291,2025-10-22,Returned
87,8429,45,407,2025-07-02,Cancelled
88,47866,37,349,2025-09-22,Cancelled
89,15158,34,122,2024-10-15,Pending
90,3609,34,121,2025-10-21,Cancelled
91,23768,29,340,2025-01-21,Returned
92,24287,28,268,2026-02-23,Returned
93,35536,14,328,2025-03-13,Completed
94,12979,10,102,2025-07-14,Returned
95,37585,24,329,2025-05-21,Completed
96,1989,36,105,2025-05-17,Cancelled
97,26850,9,236,2025-04-29,Completed
98,18312,26,74,2024-08-16,Returned
99,6757,37,388,2025-11-11,Pending
100,10088,24,189,2024-07-31,Cancelled
101,39947,5,191,2026-03-23,Pending
102,2140,7,103,2024-10-18,Returned
103,25480,16,115,2025-01-17,Cancelled
104,46090,13,348,2026-05-22,Pending
105,27378,6,34,2025-04-05,Completed
106,22602,21,382,2024-11-22,Pending
107,939,34,174,2025-09-27,Cancelled
108,26641,17,133,2025-01-24,Returned
109,37549,38,30,2026-01-24,Cancelled
110,18250,31,408,2025-02-19,Pending
111,20814,18,179,2024-09-07,Pending
112,34142,9,376,2024-11-03,Cancelled
113,8457,9,492,2024-07-31,Pending
114,296,2,369,2025-01-08,Returned
115,6836,3,10,2025-08-17,Completed
116,34275,45,362,2024-09-27,Returned
117,10851,34,168,2025-02-12,Pending
118,18602,22,197,2026-02-07,Pending
119,12739,7,362,2024-09-18,Pending
120,2721,12,95,2025-12-24,Cancelled
121,4876,26,87,2026-02-17,Pending
122,33366,37,198,2025-05-14,Pending
123,23551,17,127,2025-12-28,Completed
124,46259,12,490,2026-04-15,Cancelled
125,42841,43,219,2024-12-25,Pending
126,15570,26,86,2025-10-31,Pending
127,4413,23,162,2024-10-30,Pending
128,39360,16,343,2025-02-17,Cancelled
129,15342,33,235,2024-10-08,Returned
130,1902,24,97,2025-02-22,Cancelled
131,19255,20,212,2025-03-09,Cancelled
132,25360,33,315,2025-06-07,Completed
133,2485,12,211,2025-07-19,Cancelled
134,22422,38,436,2024-10-23,Completed
135,23401,50,4,2025-07-07,Pending
136,47815,31,325,2025-08-07,Pending
137,8092,24,250,2026-01-06,Cancelled
138,14501,49,216,2026-05-23,Completed
139,28616,50,311,2025-10-12,Returned
140,48914,38,392,2025-05-11,Pending
141,23171,26,7,2025-10-14,Completed
142,379,28,83,2025-05-07,Completed
143,963,46,484,2025-11-07,Returned
144,25293,43,13,2026-05-05,Cancelled
145,675,27,19,2026-02-18,Cancelled
146,3647,17,258,2025-06-02,Completed
147,18089,1,41,2025-02-24,Pending
148,40020,20,463,2026-03-28,Pending
149,47372,27,271,2024-08-19,Completed
150,47048,40,445,2024-12-10,Returned
151,26029,37,391,2025-12-14,Pending
152,653,17,26,2024-11-03,Returned
153,2800,2,257,2025-09-21,Returned
154,315,14,404,2025-12-02,Returned
155,14558,47,137,2025-06-30,Pending
156,1866,44,140,2024-08-24,Pending
157,18505,24,378,2024-09-07,Pending
158,33014,19,317,2025-11-03,Completed
159,18652,7,334,2025-11-16,Completed
160,9051,17,172,2024-10-31,Cancelled
161,25778,7,302,2025-11-05,Returned
162,163,31,21,2025-09-13,Completed
163,36905,8,140,2025-11-05,Cancelled
164,10262,8,103,2024-10-23,Completed
165,49690,36,265,2024-11-29,Pending
166,47543,23,335,2024-12-25,Completed
167,8938,20,227,2024-08-23,Returned
168,11414,16,330,2025-06-14,Cancelled
169,20157,33,351,2026-01-24,Pending
170,46105,18,436,2024-08-31,Cancelled
171,16942,31,48,2026-01-03,Returned
172,38202,47,345,2025-03-25,Returned
173,1574,43,94,2024-11-28,Pending
174,48053,30,145,2026-05-12,Pending
175,38952,20,479,2026-05-10,Returned
176,44811,6,53,2025-05-25,Cancelled
177,28106,1,478,2025-04-25,Cancelled
178,25812,28,329,2024-07-29,Completed
179,27694,36,232,2025-08-08,Returned
180,31604,29,404,2024-07-31,Returned
181,3248,7,247,2025-12-21,Completed
182,23216,19,472,2026-01-09,Returned
183,2540,31,481,2026-02-01,Completed
184,20671,8,244,2025-02-10,Cancelled
185,8115,7,180,2026-05-17,Returned
186,27369,28,54,2024-10-07,Pending
187,20019,48,399,2025-10-29,Returned
188,11537,41,485,2025-11-25,Completed
189,13807,37,296,2025-08-26,Completed
190,6104,33,407,2026-03-28,Returned
191,4643,48,177,2025-12-15,Returned
192,10409,29,286,2025-02-21,Pending
193,887,41,464,2024-11-11,Pending
194,2336,43,286,2024-08-19,Pending
195,34701,12,43,2025-12-11,Completed
196,5957,47,497,2024-10-12,Returned
197,6829,18,402,2024-08-07,Completed
198,11490,38,483,2025-11-26,Completed
199,5867,6,89,2024-12-03,Cancelled
200,36110,5,116,2024-07-28,Returned
201,15552,6,73,2024-09-04,Cancelled
202,24836,22,440,2026-07-02,Returned
203,20413,31,376,2024-12-13,Cancelled
204,25558,19,229,2025-07-31,Returned
205,16048,19,399,2025-08-15,Completed
206,6791,8,63,2024-09-30,Completed
207,18306,19,278,2026-07-09,Completed
208,25949,19,199,2026-06-22,Pending
209,518,26,27,2024-09-06,Returned
210,4717,42,322,2024-11-29,Pending
211,37733,17,268,2025-11-03,Returned
212,10452,7,30,2026-01-13,Cancelled
213,47894,27,166,2025-12-16,Pending
214,12925,30,333,2024-08-06,Pending
215,12516,40,295,2026-02-01,Pending
216,6289,28,471,2025-04-10,Cancelled
217,29626,20,8,2025-10-27,Returned
218,23707,42,479,2025-02-21,Completed
219,16047,4,7,2025-10-07,Pending
220,49564,42,174,2025-05-12,Pending
221,6415,34,135,2025-02-07,Completed
222,3271,1,374,2026-05-01,Pending
223,49607,3,479,2025-02-27,Cancelled
224,15799,16,375,2025-11-22,Completed
225,1044,28,72,2025-08-18,Completed
226,13182,33,101,2024-12-30,Cancelled
227,39835,3,17,2026-06-05,Pending
228,13476,16,280,2025-10-09,Returned
229,40959,33,493,2024-12-06,Completed
230,39678,14,398,2025-04-29,Cancelled
231,26972,45,395,2026-01-05,Returned
232,38309,5,122,2025-09-19,Completed
233,26667,9,121,2025-05-03,Completed
234,44982,44,422,2025-12-14,Completed
235,32506,31,366,2025-07-07,Returned
236,1664,1,17,2026-04-26,Pending
237,32136,43,440,2024-08-11,Cancelled
238,44560,46,256,2026-02-02,Cancelled
239,21984,31,14,2025-02-25,Returned
240,4397,43,446,2025-08-07,Pending
241,46600,13,364,2026-04-08,Cancelled
242,30200,29,32,2025-06-16,Cancelled
243,32679,48,69,2025-12-18,Pending
244,21035,17,77,2025-07-20,Cancelled
245,4893,18,171,2025-06-11,Returned
246,40458,8,221,2026-01-14,Completed
247,25903,38,267,2025-08-19,Pending
248,41939,27,485,2025-12-23,Completed
249,1598,17,89,2025-08-12,Cancelled
250,27045,45,467,2024-12-12,Cancelled
251,17916,20,285,2025-01-26,Returned
252,5640,49,140,2024-07-28,Cancelled
253,48631,36,251,2026-03-07,Completed
254,49599,17,347,2024-11-02,Completed
255,324,18,209,2024-09-30,Returned
256,36201,20,1,2025-09-19,Pending
257,26255,26,246,2026-03-01,Completed
258,46170,25,94,2025-01-30,Pending
259,15294,23,53,2025-05-10,Cancelled
260,40425,38,183,2025-11-15,Pending
261,24323,21,93,2025-11-08,Completed
262,43408,43,202,2026-05-15,Cancelled
263,44409,3,105,2024-07-31,Pending
264,48663,28,203,2026-04-06,Returned
265,33039,10,154,2024-11-24,Returned
266,41073,33,319,2026-06-04,Cancelled
267,22774,30,208,2025-04-24,Completed
268,15909,22,313,2024-07-25,Pending
269,18804,49,167,2026-05-04,Cancelled
270,9520,3,479,2024-07-28,Completed
271,32728,19,465,2026-02-20,Returned
272,30320,25,428,2024-12-29,Cancelled
273,1779,47,482,2025-08-26,Pending
274,639,49,101,2024-09-07,Returned
275,3715,49,108,2025-07-22,Pending
276,443,19,251,2025-12-27,Cancelled
277,15021,46,487,2025-07-21,Completed
278,40547,43,472,2025-07-13,Cancelled
279,49052,36,324,2026-04-15,Completed
280,14130,47,215,2025-11-09,Completed
281,31808,45,475,2026-01-24,Returned
282,32351,10,314,2024-12-11,Cancelled
283,15632,48,50,2024-11-30,Returned
284,22667,35,260,2025-04-29,Cancelled
285,40713,3,235,2025-02-03,Pending
286,31999,14,338,2026-04-14,Cancelled
287,17980,34,479,2025-02-10,Completed
288,38166,12,413,2026-07-05,Pending
289,48845,7,182,2026-03-05,Completed
290,44570,33,351,2025-01-04,Returned
291,3373,36,60,2024-08-12,Completed
292,10440,9,202,2026-04-12,Returned
293,16001,22,438,2025-12-12,Returned
294,2259,30,207,2025-08-08,Returned
295,10788,36,378,2024-12-30,Returned
296,28800,35,288,2025-06-07,Completed
297,21609,12,161,2026-04-10,Returned
298,3925,47,441,2025-04-19,Completed
299,37959,45,267,2026-03-23,Pending
300,48151,35,398,2026-03-03,Pending
301,12285,17,438,2025-07-28,Returned
302,13482,7,380,2025-01-02,Returned
303,45937,39,107,2024-11-26,Cancelled
304,1312,34,321,2025-01-21,Pending
305,2758,2,315,2024-11-22,Pending
306,32595,36,96,2025-02-26,Pending
307,31576,15,325,2025-01-20,Completed
308,40442,30,483,2026-02-06,Completed
309,39062,42,236,2025-07-27,Returned
310,5418,37,271,2025-10-19,Completed
311,29029,35,258,2025-03-27,Returned
312,33930,10,93,2025-12-18,Completed
313,10374,49,26,2024-09-24,Cancelled
314,43419,42,149,2025-03-26,Completed
315,25343,2,363,2025-06-03,Completed
316,4024,34,157,2025-07-24,Returned
317,17802,7,156,2025-08-28,Cancelled
318,32808,9,357,2025-07-11,Returned
319,22932,8,15,2024-08-21,Returned
320,14688,27,264,2025-03-07,Pending
321,12737,43,281,2025-03-17,Completed
322,45327,35,263,2026-06-04,Completed
323,48469,16,317,2025-02-28,Pending
324,31409,1,74,2025-04-17,Returned
325,13512,12,253,2026-01-18,Cancelled
326,4872,48,440,2025-06-29,Cancelled
327,38214,16,257,2026-01-15,Pending
328,11306,44,135,2024-09-15,Returned
329,48399,46,374,2024-10-05,Pending
330,11165,9,276,2024-12-20,Completed
331,15604,18,288,2025-10-01,Cancelled
332,15037,12,299,2024-10-03,Returned
333,24743,47,238,2025-10-06,Pending
334,10013,36,137,2025-07-31,Returned
335,48966,5,325,2026-04-13,Cancelled
336,19455,19,422,2025-03-26,Returned
337,29349,17,297,2024-07-21,Pending
338,41483,48,234,2026-04-15,Completed
339,7072,3,349,2026-01-27,Returned
340,28175,47,440,2026-04-24,Pending
341,17656,13,388,2026-06-04,Completed
342,32212,43,352,2026-07-11,Cancelled
343,41326,30,2,2026-04-24,Returned
344,19172,47,146,2026-06-26,Cancelled
345,5260,27,445,2025-11-29,Cancelled
346,24201,27,62,2025-01-31,Pending
347,32125,2,454,2026-04-17,Pending
348,7758,47,290,2026-06-02,Pending
349,42455,31,316,2025-08-13,Pending
350,45962,27,337,2025-09-01,Pending
351,38127,33,45,2025-05-31,Completed
352,20505,14,196,2025-08-30,Pending
353,6429,21,247,2025-05-14,Returned
354,32215,18,479,2025-01-26,Cancelled
355,21271,48,357,2025-02-13,Pending
356,33074,2,324,2025-06-30,Pending
357,26949,45,468,2024-07-20,Pending
358,27017,33,53,2025-04-01,Cancelled
359,26357,41,5,2025-10-19,Cancelled
360,23341,1,486,2026-05-21,Pending
361,13188,18,274,2026-07-09,Cancelled
362,44114,42,373,2025-05-19,Cancelled
363,5793,8,478,2024-08-07,Cancelled
364,9509,16,128,2025-12-09,Completed
365,6998,25,267,2025-12-05,Completed
366,45809,8,160,2025-04-19,Returned
367,38745,31,180,2025-07-21,Cancelled
368,39244,4,65,2024-09-19,Pending
369,1431,2,398,2025-09-03,Cancelled
370,39756,36,361,2025-10-17,Completed
371,13720,19,416,2025-12-29,Returned
372,5814,42,49,2025-08-13,Completed
373,7834,11,62,2025-09-07,Completed
374,43037,30,282,2024-11-12,Completed
375,906,20,156,2026-03-13,Completed
376,30794,47,47,2026-04-25,Cancelled
377,27538,16,51,2024-09-08,Cancelled
378,31248,46,78,2024-08-31,Completed
379,7055,12,377,2025-05-24,Completed
380,28038,32,312,2025-01-22,Completed
381,29769,23,481,2024-09-23,Returned
382,22286,25,226,2024-12-28,Pending
383,6634,15,99,2024-12-18,Pending
384,41834,2,55,2025-08-27,Returned
385,7030,12,21,2025-03-02,Cancelled
386,10847,3,419,2025-01-29,Cancelled
387,4888,5,334,2026-02-12,Completed
388,49327,11,312,2024-12-20,Completed
389,43008,26,248,2026-04-29,Completed
390,45593,26,44,2024-08-27,Completed
391,18801,15,395,2026-02-03,Cancelled
392,44641,35,280,2025-05-02,Pending
393,17033,5,39,2024-08-22,Cancelled
394,21128,30,75,2025-05-05,Returned
395,33491,42,182,2024-11-02,Cancelled
396,23318,2,328,2025-07-07,Cancelled
397,26037,48,317,2026-05-31,Pending
398,46354,34,52,2025-10-15,Returned
399,26163,15,279,2024-12-27,Returned
400,28817,2,92,2025-03-02,Cancelled
401,21980,39,460,2024-09-25,Completed
402,39766,35,423,2026-03-27,Completed
403,6773,33,87,2025-06-28,Returned
404,13428,9,481,2025-07-12,Returned
405,28192,44,136,2025-12-26,Returned
406,38541,30,478,2025-12-20,Pending
407,10919,28,135,2025-06-24,Completed
408,29177,44,426,2025-07-13,Completed
409,45770,42,165,2026-05-25,Returned
410,1394,26,396,2026-05-04,Cancelled
411,235,3,124,2024-08-01,Pending
412,12386,1,475,2025-08-02,Cancelled
413,16300,32,431,2025-05-15,Returned
414,44465,43,434,2026-03-10,Cancelled
415,42890,8,450,2024-10-14,Completed
416,45002,37,363,2024-08-11,Completed
417,42606,40,32,2026-07-11,Returned
418,3101,34,157,2026-01-24,Cancelled
419,20760,25,216,2025-10-15,Cancelled
420,853,18,204,2025-03-29,Completed
421,19696,16,171,2026-05-29,Completed
422,25601,34,97,2025-05-26,Returned
423,6358,27,111,2026-07-07,Returned
424,5970,46,153,2025-03-16,Pending
425,23961,31,22,2025-05-05,Cancelled
426,48350,46,54,2026-01-02,Pending
427,32277,42,26,2025-10-17,Cancelled
428,17540,10,67,2025-07-16,Completed
429,39976,3,191,2026-03-12,Pending
430,38228,14,103,2025-10-28,Pending
431,2144,38,223,2024-10-28,Cancelled
432,18470,50,309,2025-08-05,Completed
433,13065,7,340,2025-10-24,Cancelled
434,14025,34,215,2025-11-30,Cancelled
435,31969,38,249,2025-01-15,Cancelled
436,17796,25,68,2025-02-24,Pending
437,21229,20,395,2024-12-07,Pending
438,40810,47,57,2025-06-23,Completed
439,42776,19,259,2025-08-03,Returned
440,49729,13,32,2024-10-24,Cancelled
441,44451,10,94,2025-01-29,Cancelled
442,29841,46,458,2025-04-28,Pending
443,6297,19,291,2025-09-02,Pending
444,28804,1,95,2026-01-08,Returned
445,5679,8,354,2024-11-25,Pending
446,5562,50,342,2026-05-23,Returned
447,13715,25,318,2025-02-23,Completed
448,41490,27,20,2025-06-26,Returned
449,3323,29,417,2026-06-29,Completed
450,39293,10,140,2024-12-06,Cancelled
451,35785,16,482,2025-01-21,Pending
452,31140,10,478,2025-08-31,Pending
453,49113,11,33,2026-04-10,Completed
454,1443,20,169,2025-04-15,Cancelled
455,22218,31,58,2025-12-05,Completed
456,8583,26,170,2026-06-19,Completed
457,8984,9,442,2025-11-27,Completed
458,26860,44,387,2025-07-07,Cancelled
459,49744,50,330,2025-04-06,Completed
460,32073,21,69,2025-07-10,Cancelled
461,5078,9,33,2024-09-13,Completed
462,30025,24,298,2026-02-16,Pending
463,8082,39,343,2026-04-22,Cancelled
464,37584,18,99,2024-09-19,Pending
465,2934,30,33,2025-03-27,Cancelled
466,10330,31,98,2025-10-26,Cancelled
467,9314,35,75,2024-10-04,Completed
468,28720,48,253,2025-07-26,Pending
469,5617,13,168,2025-01-24,Cancelled
470,31152,27,469,2026-02-20,Returned
471,27575,6,24,2025-03-01,Completed
472,21143,26,437,2026-05-24,Cancelled
473,25519,4,398,2025-05-15,Pending
474,28624,1,144,2026-01-13,Cancelled
475,18426,3,193,2026-01-08,Returned
476,36653,17,352,2025-12-24,Cancelled
477,8444,31,270,2024-08-10,Returned
478,38377,36,430,2025-08-12,Pending
479,40997,27,11,2024-11-11,Cancelled
480,14538,13,22,2025-04-25,Completed
481,26328,1,496,2025-04-08,Cancelled
482,23011,43,156,2025-10-11,Cancelled
483,11912,2,486,2026-01-03,Pending
484,20437,22,265,2026-01-21,Cancelled
485,26271,5,366,2026-05-03,Returned
486,10536,47,315,2024-09-17,Cancelled
487,7053,50,414,2025-07-15,Completed
488,47708,32,137,2026-06-22,Returned
489,3840,22,134,2024-08-09,Returned
490,36726,38,415,2025-03-07,Pending
491,49969,3,404,2026-05-01,Returned
492,11896,17,290,2025-10-15,Pending
493,30967,47,258,2025-08-05,Cancelled
494,16456,30,194,2025-05-13,Returned
495,1180,42,274,2026-05-05,Pending
496,45603,17,400,2024-12-13,Returned
497,32951,44,152,2024-12-16,Pending
498,16390,43,270,2026-03-19,Pending
499,27182,49,157,2025-12-19,Pending
500,44595,17,137,2024-08-06,Cancelled
501,14362,36,11,2025-12-13,Cancelled
502,38132,18,289,2025-01-12,Completed
503,22018,36,349,2026-04-15,Cancelled
504,20811,3,255,2024-07-26,Returned
505,44261,42,328,2026-06-01,Returned
506,24556,50,240,2026-03-30,Returned
507,43966,27,384,2024-10-04,Completed
508,28799,49,20,2024-12-12,Returned
509,17137,34,457,2024-10-23,Returned
510,4722,1,403,2024-07-16,Returned
511,14536,1,313,2025-05-01,Cancelled
512,47049,10,157,2025-01-07,Returned
513,36828,4,42,2024-12-04,Cancelled
514,13339,44,21,2026-06-05,Pending
515,41115,32,134,2024-11-13,Returned
516,42075,46,21,2025-02-02,Completed
517,47305,10,30,2025-06-29,Completed
518,31207,22,275,2025-03-25,Returned
519,19509,18,356,2024-11-12,Cancelled
520,25105,23,196,2026-03-05,Completed
521,1058,50,277,2025-01-27,Completed
522,13905,14,16,2025-01-20,Pending
523,241,42,303,2025-09-02,Completed
524,44453,45,43,2025-03-10,Cancelled
525,10051,10,495,2025-12-04,Cancelled
526,2503,12,268,2026-02-10,Cancelled
527,11720,31,500,2025-12-19,Cancelled
528,49697,47,321,2024-11-21,Cancelled
529,38906,4,409,2024-11-18,Pending
530,41584,13,71,2024-08-29,Returned
531,45794,10,186,2025-05-09,Cancelled
532,36812,17,327,2025-06-25,Completed
533,44810,44,490,2024-08-30,Completed
534,37445,48,234,2025-04-17,Cancelled
535,43011,50,157,2026-05-25,Pending
536,7761,34,199,2025-07-18,Returned
537,17142,9,187,2025-07-20,Completed
538,18620,35,147,2024-07-23,Cancelled
539,7670,41,179,2025-03-04,Cancelled
540,16450,6,323,2026-04-17,Cancelled
541,44797,40,56,2024-08-14,Returned
542,43193,50,266,2026-07-07,Completed
543,49970,32,454,2025-07-20,Returned
544,18419,23,127,2024-11-12,Pending
545,10950,2,233,2025-03-29,Pending
546,24410,27,8,2024-12-24,Returned
547,23355,18,179,2024-10-27,Cancelled
548,42027,3,491,2025-10-23,Pending
549,13908,45,241,2026-03-08,Cancelled
550,37515,34,147,2026-07-04,Returned
551,32946,39,432,2025-12-04,Cancelled
552,40603,35,194,2025-05-16,Pending
553,22915,38,106,2024-09-21,Cancelled
554,15029,15,271,2025-10-31,Pending
555,44018,25,293,2026-05-30,Completed
556,23875,22,419,2024-11-20,Cancelled
557,19704,2,38,2025-01-03,Cancelled
558,3650,32,154,2026-02-12,Cancelled
559,36237,50,33,2026-07-08,Cancelled
560,15138,45,15,2025-01-26,Cancelled
561,25799,1,453,2025-11-18,Cancelled
562,37217,50,176,2024-11-27,Completed
563,7369,50,116,2025-01-06,Pending
564,11317,37,222,2026-06-06,Returned
565,46457,45,87,2026-06-04,Completed
566,35558,10,26,2025-08-08,Cancelled
567,21464,46,314,2025-06-11,Pending
568,37218,41,177,2025-03-28,Returned
569,25801,42,292,2025-08-04,Returned
570,39146,3,278,2024-08-14,Returned
571,47552,29,460,2025-02-28,Returned
572,42535,17,109,2026-04-09,Completed
573,20556,44,300,2025-03-01,Pending
574,2045,7,383,2024-08-12,Returned
575,43192,30,223,2025-05-23,Completed
576,577,3,468,2025-08-09,Pending
577,21420,11,428,2025-08-20,Completed
578,33962,36,231,2025-12-21,Completed
579,7971,32,228,2025-05-03,Pending
580,14744,17,386,2025-06-04,Cancelled
581,19665,16,313,2025-04-18,Cancelled
582,28027,36,272,2025-06-04,Returned
583,41703,39,484,2025-02-14,Returned
584,7812,11,396,2026-05-24,Pending
585,38440,9,496,2025-12-09,Pending
586,6454,3,129,2025-06-27,Completed
587,4472,36,40,2026-02-07,Cancelled
588,12179,6,489,2025-11-12,Completed
589,29201,24,170,2024-10-01,Completed
590,2191,18,329,2026-02-08,Pending
591,28333,50,493,2026-03-02,Returned
592,29464,7,329,2025-12-24,Pending
593,44327,24,474,2026-07-05,Cancelled
594,16926,20,317,2025-11-28,Pending
595,39549,35,313,2026-02-15,Cancelled
596,10055,36,193,2025-09-11,Cancelled
597,12217,22,346,2025-08-04,Returned
598,36675,22,148,2025-10-02,Returned
599,4186,45,115,2025-11-14,Returned
600,17792,12,25,2026-05-27,Pending
601,12281,39,300,2026-06-10,Returned
602,43643,45,365,2025-09-06,Completed
603,41389,23,489,2025-09-09,Pending
604,40955,39,309,2025-09-10,Pending
605,13096,37,115,2026-05-22,Completed
606,9756,35,499,2025-06-22,Pending
607,19734,33,159,2024-08-31,Returned
608,31848,11,395,2024-09-15,Completed
609,29065,10,113,2025-12-12,Cancelled
610,34414,4,37,2025-10-25,Cancelled
611,1976,22,120,2025-05-25,Completed
612,48353,31,348,2025-10-18,Completed
613,1237,26,54,2025-10-09,Returned
614,22655,11,281,2026-03-12,Completed
615,5805,27,224,2024-08-19,Returned
616,14771,35,35,2025-11-05,Cancelled
617,26425,41,269,2024-07-22,Pending
618,253,15,18,2026-03-25,Completed
619,3884,4,381,2026-06-30,Returned
620,15399,36,95,2025-06-28,Completed
621,28818,25,144,2026-01-24,Completed
622,16,43,394,2024-12-08,Pending
623,1062,7,288,2026-05-15,Cancelled
624,35848,37,442,2025-03-26,Cancelled
625,43766,32,361,2026-02-03,Pending
626,40449,16,242,2025-06-02,Cancelled
627,36799,22,168,2025-10-09,Completed
628,16726,30,360,2025-12-31,Completed
629,21798,13,49,2025-05-22,Cancelled
630,43763,18,76,2024-11-10,Returned
631,44706,5,313,2024-12-12,Pending
632,20821,2,217,2025-07-20,Returned
633,44801,22,362,2025-03-12,Returned
634,1754,42,459,2026-02-22,Completed
635,32192,39,68,2026-03-03,Pending
636,23676,33,480,2026-01-03,Returned
637,17739,16,432,2025-09-06,Cancelled
638,40964,30,484,2024-08-18,Cancelled
639,3927,29,288,2024-08-30,Returned
640,13130,21,275,2025-01-16,Completed
641,29964,39,395,2026-06-15,Cancelled
642,2544,16,322,2024-11-18,Cancelled
643,38173,32,389,2025-03-05,Pending
644,15122,6,165,2024-07-18,Pending
645,23876,13,28,2025-06-07,Pending
646,32352,25,66,2026-06-06,Pending
647,13905,42,412,2024-09-24,Cancelled
648,43226,30,367,2025-10-14,Pending
649,21095,20,482,2025-02-01,Completed
650,15550,46,317,2024-09-14,Pending
651,10505,19,49,2025-03-29,Completed
652,21676,9,311,2026-06-28,Cancelled
653,35894,28,392,2026-03-31,Pending
654,31682,41,410,2024-07-17,Returned
655,33790,28,444,2025-04-04,Completed
656,36509,47,165,2026-05-06,Pending
657,18985,31,208,2025-05-27,Pending
658,12603,3,388,2025-02-20,Completed
659,28207,5,313,2025-03-13,Returned
660,24570,5,377,2025-11-26,Returned
661,46789,18,68,2024-11-29,Completed
662,21437,32,320,2025-04-16,Cancelled
663,24148,10,496,2025-06-11,Pending
664,22648,33,412,2026-03-03,Cancelled
665,43459,4,9,2024-12-21,Completed
666,11488,5,321,2024-07-18,Pending
667,26637,7,253,2025-05-19,Pending
668,220,20,69,2026-06-22,Pending
669,14217,5,46,2024-08-04,Completed
670,34603,4,138,2026-01-15,Pending
671,37968,37,143,2026-03-08,Returned
672,35789,50,78,2025-03-09,Completed
673,30966,2,10,2025-10-31,Completed
674,45061,25,497,2025-08-16,Cancelled
675,32857,45,336,2025-04-02,Cancelled
676,39351,22,201,2025-05-23,Cancelled
677,16917,7,74,2024-11-06,Completed
678,3287,42,464,2026-03-25,Returned
679,34279,3,68,2026-04-14,Pending
680,19803,39,483,2025-12-10,Cancelled
